authorities_contacted authorities_contacted,collision_type collision_type,fraud_reported fraud_reported,incident_severity incident_severity,incident_type incident_type,insured_education_level insured_education_level,insured_occupation insured_occupation,insured_relationship insured_relationship,insured_sex insured_sex,police_report_available police_report_available,policy_csl policy_csl,property_damage property_damage,Risk_Level Risk_Level,Actual Actual,age age,bodily_injuries bodily_injuries,capital-gains capital-gains,capital-loss capital-loss,claim_deviation claim_deviation,claim_ratio claim_ratio,claimscount,Fraud_Probability Fraud_Probability,incident_hour_of_the_day incident_hour_of_the_day,injury_claim injury_claim,months_as_customer months_as_customer,number_of_vehicles_involved number_of_vehicles_involved,policy_age_days policy_age_days,policy_annual_premium policy_annual_premium,policy_deductable policy_deductable,Predicted Predicted,property_claim property_claim,row_count,tetx,total_claim_amount total_claim_amount,umbrella_limit umbrella_limit,vehicle_claim vehicle_claim,witnesses witnesses
Police,Side Collision,N,Total Loss,Multi-vehicle Collision,JD,adm-clerical,husband,MALE,NO,250/500,NO,Low Risk,0,48,2,0,0,5451.05,2.999792545,1,0.237396925,13,7230,343,4,1892,1451.54,500,1,14460,1,0,65070,3000000,43380,3
Police,unknown,N,Trivial Damage,Parked Car,Associate,sales,not-in-family,MALE,NO,250/500,NO,Low Risk,0,53,0,25500,-36700,-31768.95,6.992054484,1,0.115761996,8,1760,404,1,35,767.14,500,0,880,1,0,8800,0,6160,1
Police,unknown,N,Minor Damage,Vehicle Theft,High School,handlers-cleaners,other-relative,FEMALE,NO,250/500,NO,Low Risk,0,24,2,0,0,-33848.95,3.996082272,1,0.060257944,7,1020,63,1,7696,1620.89,2000,0,1020,1,0,6120,0,4080,0
unknown,unknown,N,Trivial Damage,Vehicle Theft,High School,priv-house-serv,not-in-family,MALE,unknown,500/1000,unknown,Low Risk,0,37,1,59900,0,-32618.95,8.984771574,1,0.078731110,9,1180,210,1,3075,1048.46,2000,0,590,1,0,7080,0,5310,2
Ambulance,Side Collision,N,Minor Damage,Multi-vehicle Collision,High School,sales,other-relative,MALE,YES,100/300,YES,Low Risk,0,50,2,62200,-31400,-16478.95,4.998834770,1,0.206356344,12,8580,335,3,2908,1538.26,1000,1,4290,1,0,34320,6000000,21450,3
Other,Side Collision,Y,Major Damage,Multi-vehicle Collision,MD,prof-specialty,wife,FEMALE,unknown,500/1000,unknown,Medium Risk,1,40,1,24000,0,-3908.95,3.499639955,1,0.413143939,6,9720,11,3,5040,1217.69,2000,1,9720,1,0,53460,0,34020,0
Other,Side Collision,Y,Total Loss,Single Vehicle Collision,JD,exec-managerial,wife,FEMALE,unknown,100/300,YES,Medium Risk,1,33,1,0,0,23091.05,4.499668166,1,0.648238097,11,6780,142,1,7278,1362.64,2000,1,13560,1,0,81360,5000000,61020,3
Ambulance,Side Collision,Y,Minor Damage,Multi-vehicle Collision,PhD,craft-repair,other-relative,MALE,YES,100/300,unknown,Medium Risk,1,43,1,0,0,21031.05,3.999728648,1,0.630506007,5,7370,272,3,7136,1279.13,1000,1,14740,1,0,81070,0,58960,2
Fire,Front Collision,N,Minor Damage,Single Vehicle Collision,High School,machine-op-inspct,unmarried,FEMALE,NO,100/300,NO,Low Risk,0,26,2,0,0,9411.05,4.499572284,1,0.182016110,14,5260,69,1,3211,924.72,2000,0,10520,1,0,63120,0,47340,2
unknown,unknown,N,Trivial Damage,Vehicle Theft,Masters,transport-moving,not-in-family,MALE,NO,250/500,unknown,Low Risk,0,28,2,0,-39700,-32888.95,6.990291262,1,0.039856638,17,1440,38,1,7259,1019.44,1000,0,720,1,0,7200,0,5040,1
Other,Rear Collision,Y,Total Loss,Single Vehicle Collision,MD,prof-specialty,not-in-family,FEMALE,unknown,500/1000,unknown,Medium Risk,1,46,2,24800,0,13191.05,7.998748240,1,0.643274881,0,12780,328,1,6823,1314.6,500,1,6390,1,0,70290,0,51120,3
Fire,Side Collision,N,Minor Damage,Multi-vehicle Collision,College,priv-house-serv,other-relative,MALE,NO,100/300,NO,Low Risk,0,43,1,0,0,3741.05,4.499514091,1,0.276704485,21,9260,281,3,7877,1515.18,1000,1,9260,1,0,60190,6000000,41670,0
Other,Front Collision,Y,Major Damage,Single Vehicle Collision,College,farming-fishing,other-relative,MALE,YES,250/500,YES,Medium Risk,1,44,1,0,-58600,6711.05,7.998566565,1,0.698983911,18,11160,246,1,4974,1649.18,2000,1,5580,1,0,61380,0,44640,2
Ambulance,Front Collision,N,Minor Damage,Single Vehicle Collision,College,other-service,own-child,FEMALE,NO,250/500,NO,Low Risk,0,49,2,47800,0,-18258.95,3.499377335,1,0.154292393,17,2810,298,1,2282,1451.01,500,0,5620,1,0,28100,0,19670,2
Fire,Side Collision,N,Total Loss,Single Vehicle Collision,High School,sales,husband,FEMALE,NO,500/1000,YES,Low Risk,0,50,0,0,0,-6708.95,3.499607667,1,0.258641503,19,8920,330,1,4421,978.46,1000,1,8920,1,0,49060,0,31220,0
Fire,Side Collision,N,Total Loss,Multi-vehicle Collision,Associate,sales,wife,MALE,NO,250/500,unknown,Low Risk,0,50,1,53000,-72500,6451.05,6.998896073,1,0.322840588,17,6340,362,3,3293,1198.34,500,1,6340,1,0,57060,4000000,44380,1
Fire,Side Collision,N,Major Damage,Multi-vehicle Collision,Associate,tech-support,not-in-family,FEMALE,YES,100/300,unknown,Low Risk,0,38,0,0,0,13991.05,3.999691857,1,0.355475810,23,12980,241,3,9009,1003.23,2000,1,12980,1,0,77880,0,51920,3
Ambulance,Front Collision,N,Total Loss,Single Vehicle Collision,Masters,exec-managerial,unmarried,MALE,YES,500/1000,YES,Low Risk,0,41,0,24400,-60500,13521.05,3.499761921,1,0.200652225,4,7350,245,1,520,1212,2000,1,14700,1,0,73500,0,51450,1
Other,Rear Collision,N,Minor Damage,Multi-vehicle Collision,High School,other-service,own-child,FEMALE,unknown,250/500,YES,Low Risk,0,52,2,0,-37100,30471.05,4.999634530,1,0.159801732,2,6840,371,2,6342,1242.96,1000,0,13680,1,0,88920,7000000,68400,0
Other,Front Collision,Y,Major Damage,Single Vehicle Collision,Associate,prof-specialty,not-in-family,FEMALE,NO,500/1000,unknown,Medium Risk,1,52,0,0,0,-7618.95,6.998383745,1,0.625987602,2,12990,343,1,4774,1053.02,1000,1,4330,1,0,47630,0,30310,2
Fire,Front Collision,N,Total Loss,Multi-vehicle Collision,MD,craft-repair,unmarried,FEMALE,NO,100/300,YES,Medium Risk,0,53,1,0,-64000,7991.05,6.998933089,1,0.409404130,10,6560,377,3,6742,1693.63,500,1,6560,1,0,59040,0,45920,3
Other,Rear Collision,N,Minor Damage,Single Vehicle Collision,MD,farming-fishing,other-relative,FEMALE,NO,250/500,unknown,Low Risk,0,37,0,0,-67800,19911.05,7.998893652,1,0.237766074,2,14460,154,1,1807,2047.59,1000,1,7230,1,0,79530,0,57840,3
Other,Side Collision,N,Total Loss,Single Vehicle Collision,High School,machine-op-inspct,wife,FEMALE,YES,100/300,NO,Low Risk,0,34,0,65600,-68200,5991.05,8.998156116,1,0.159042916,18,4880,166,1,129,1083.72,1000,0,4880,1,0,53680,0,43920,2
Police,Side Collision,N,Minor Damage,Single Vehicle Collision,JD,prof-specialty,own-child,MALE,YES,500/1000,NO,Low Risk,0,46,2,36900,-55000,-13528.95,3.999344370,1,0.081307184,18,3050,298,1,2847,1138.42,1000,0,6100,1,0,33550,6000000,24400,3
Other,Side Collision,N,Total Loss,Multi-vehicle Collision,Masters,machine-op-inspct,husband,FEMALE,YES,250/500,unknown,Low Risk,0,42,2,39900,-60200,17351.05,7.998842425,1,0.234039972,7,6910,235,4,8915,1072.62,500,1,6910,1,0,69100,0,55280,1
Police,Rear Collision,N,Major Damage,Multi-vehicle Collision,MD,handlers-cleaners,own-child,MALE,NO,100/300,unknown,Low Risk,0,35,2,63600,-68700,12821.05,3.499758637,1,0.302305221,19,14500,172,3,3766,1219.04,2000,1,14500,1,0,79750,0,50750,0
Other,Front Collision,Y,Major Damage,Multi-vehicle Collision,JD,farming-fishing,other-relative,MALE,YES,100/300,unknown,High Risk,1,28,0,0,-32500,-408.950000000,3.499673538,1,0.786979555,10,5360,27,3,7100,1371.78,2000,1,10720,1,0,53600,0,37520,2
Fire,Side Collision,N,Minor Damage,Multi-vehicle Collision,Masters,transport-moving,unmarried,MALE,unknown,100/300,NO,Low Risk,0,54,1,0,-24400,19491.05,8.998589563,1,0.199155392,16,12760,428,3,4005,1506.21,2000,0,6380,1,0,76560,0,57420,0
Fire,Front Collision,N,Total Loss,Single Vehicle Collision,JD,craft-repair,unmarried,MALE,NO,100/300,YES,Low Risk,0,32,1,0,0,-5938.95,6.998468606,1,0.146093027,17,4570,99,1,171,1058.21,1000,0,4570,1,0,41130,3000000,31990,1
Fire,Rear Collision,Y,Total Loss,Multi-vehicle Collision,MD,sales,own-child,MALE,NO,500/1000,NO,Medium Risk,1,26,2,40600,0,19271.05,7.998881275,1,0.686823701,2,14300,107,3,6504,932.14,2000,1,7150,1,0,78650,0,57200,3
Other,Side Collision,N,Major Damage,Single Vehicle Collision,Associate,farming-fishing,own-child,FEMALE,unknown,500/1000,unknown,Medium Risk,0,41,1,33300,-10600,13751.05,3.999690426,1,0.430352065,19,6460,272,1,8687,1608.34,2000,1,12920,1,0,71060,0,51680,1
Fire,Front Collision,N,Minor Damage,Single Vehicle Collision,Masters,farming-fishing,own-child,FEMALE,unknown,500/1000,YES,Low Risk,0,37,1,54000,0,-6158.95,8.997451147,1,0.117078368,0,3530,151,1,8220,1728.56,1000,0,3530,1,0,38830,0,31770,1
Fire,Front Collision,N,Major Damage,Single Vehicle Collision,MD,armed-forces,own-child,FEMALE,YES,250/500,unknown,Medium Risk,0,43,0,0,0,4871.05,7.998504952,1,0.410315365,16,5350,249,1,510,1518.46,1000,1,5350,1,0,53500,0,42800,0
Other,Front Collision,Y,Major Damage,Single Vehicle Collision,College,adm-clerical,other-relative,FEMALE,NO,100/300,YES,High Risk,1,38,2,0,-74500,21031.05,7.998914666,1,0.708901783,20,7370,177,1,1123,1540.19,2000,1,7370,1,0,73700,0,58960,0
unknown,unknown,N,Trivial Damage,Parked Car,JD,exec-managerial,other-relative,FEMALE,YES,500/1000,unknown,Low Risk,0,40,2,36900,-53700,-32888.95,7.987321712,1,0.134975102,10,630,190,1,2928,965.21,2000,0,630,1,0,6300,0,5040,1
Ambulance,Rear Collision,N,Total Loss,Multi-vehicle Collision,College,tech-support,own-child,FEMALE,NO,100/300,unknown,Low Risk,0,36,2,53200,-53800,5671.05,3.999633061,1,0.256642918,21,10900,174,3,3402,1278.75,2000,1,10900,1,0,65400,0,43600,2
unknown,unknown,N,Trivial Damage,Vehicle Theft,Associate,armed-forces,other-relative,MALE,NO,250/500,YES,Low Risk,0,28,1,0,-70300,-35688.95,6.978193146,1,0.081010883,3,640,95,1,8825,773.99,1000,0,320,1,0,3200,0,2240,2
Fire,Rear Collision,Y,Major Damage,Single Vehicle Collision,Associate,tech-support,other-relative,FEMALE,YES,500/1000,YES,Medium Risk,1,51,0,60300,-24700,14851.05,3.499767920,1,0.575468681,7,7540,371,1,3383,1532.47,1000,1,15080,1,0,75400,0,52780,3
Fire,Side Collision,N,Minor Damage,Single Vehicle Collision,JD,machine-op-inspct,not-in-family,FEMALE,YES,250/500,YES,Low Risk,0,28,0,0,0,7291.05,6.998916576,1,0.240603369,19,6460,2,1,5719,1340.56,1000,1,6460,1,0,58140,0,45220,2
Ambulance,Rear Collision,Y,Total Loss,Multi-vehicle Collision,JD,other-service,own-child,FEMALE,unknown,100/300,unknown,Medium Risk,1,44,0,0,-41400,30381.05,4.499703577,1,0.661884192,15,15180,269,3,4425,1297.75,500,1,15180,1,0,98670,4000000,68310,1
unknown,unknown,N,Minor Damage,Parked Car,Masters,machine-op-inspct,other-relative,MALE,NO,250/500,unknown,Low Risk,0,27,0,25900,0,-33798.95,6.988155668,1,0.068947444,7,1180,101,1,2883,433.33,1000,0,590,1,0,5900,0,4130,3
Fire,Rear Collision,N,Major Damage,Single Vehicle Collision,High School,armed-forces,other-relative,FEMALE,YES,250/500,unknown,Medium Risk,0,30,1,0,-52600,13351.05,7.998752145,1,0.537595316,19,6410,94,1,4739,1025.54,2000,1,6410,1,0,64100,0,51280,3
Fire,Rear Collision,Y,Total Loss,Multi-vehicle Collision,Associate,transport-moving,unmarried,FEMALE,unknown,250/500,YES,Medium Risk,1,28,0,47500,-32500,2391.05,3.999603214,1,0.650320594,13,5040,117,2,4308,1264.77,500,1,10080,1,0,55440,0,40320,1
Police,Side Collision,Y,Major Damage,Multi-vehicle Collision,MD,sales,other-relative,MALE,NO,250/500,NO,Medium Risk,1,27,1,0,0,20871.05,3.999727910,1,0.605665274,2,7350,111,3,4541,1459.97,500,1,14700,1,0,80850,5000000,58800,2
Police,unknown,N,Trivial Damage,Vehicle Theft,High School,transport-moving,husband,FEMALE,NO,100/300,YES,Low Risk,0,40,1,0,-44600,-31808.95,8.986784141,1,0.047347708,5,680,242,1,6195,1238.65,500,0,680,1,0,7480,0,6120,1
Fire,Side Collision,Y,Major Damage,Single Vehicle Collision,PhD,transport-moving,wife,MALE,NO,250/500,unknown,High Risk,1,61,2,41500,-70200,3791.05,6.998825700,1,0.776368366,21,5960,440,1,8182,1050.76,500,1,5960,1,0,53640,0,41720,3
Fire,Rear Collision,Y,Major Damage,Multi-vehicle Collision,JD,tech-support,wife,FEMALE,NO,500/1000,NO,High Risk,1,23,2,0,0,8071.05,3.999652204,1,0.743472406,21,5750,20,3,5736,1711.72,1000,1,11500,1,0,63250,0,46000,2
Ambulance,Side Collision,N,Major Damage,Multi-vehicle Collision,High School,farming-fishing,own-child,FEMALE,unknown,100/300,NO,Low Risk,0,57,0,0,0,1431.05,3.999593537,1,0.312958898,7,9840,461,3,6235,865.33,500,1,9840,1,0,59040,7000000,39360,1
Other,Side Collision,N,Total Loss,Multi-vehicle Collision,Associate,craft-repair,other-relative,MALE,YES,250/500,YES,Low Risk,0,36,1,0,0,-2578.95,6.998614136,1,0.135338464,16,10100,208,3,5362,1153.49,500,0,5050,1,0,50500,0,35350,0
Police,Side Collision,Y,Major Damage,Single Vehicle Collision,Associate,machine-op-inspct,other-relative,MALE,NO,500/1000,YES,High Risk,1,43,0,0,0,531.050000000,2.999766009,1,0.749539549,13,6410,279,1,7208,1281.25,2000,1,12820,1,0,57690,0,38460,1
Police,unknown,N,Trivial Damage,Vehicle Theft,MD,sales,husband,FEMALE,YES,100/300,YES,Low Risk,0,40,1,0,0,-33308.95,6.989409985,1,0.076779091,2,660,244,1,3153,1342.8,500,0,660,1,0,5940,0,4620,3
Fire,Rear Collision,Y,Major Damage,Multi-vehicle Collision,PhD,exec-managerial,unmarried,FEMALE,YES,250/500,unknown,High Risk,1,30,0,0,0,-758.950000000,6.998681981,1,0.759786447,19,5310,134,3,2658,1443.32,2000,1,5310,1,0,47790,0,37170,2
unknown,unknown,N,Trivial Damage,Parked Car,Masters,priv-house-serv,other-relative,FEMALE,NO,250/500,unknown,Low Risk,0,29,0,0,-47100,-34778.95,8.974358974,1,0.089004354,17,350,122,1,8474,1629.94,1000,0,350,1,0,3850,0,3150,1
Police,Front Collision,Y,Major Damage,Single Vehicle Collision,PhD,other-service,husband,MALE,unknown,100/300,unknown,Medium Risk,1,31,2,0,0,9271.05,7.998644298,1,0.528622173,3,5900,156,1,6713,1134.08,2000,1,5900,1,0,59000,0,47200,0
Ambulance,Rear Collision,Y,Major Damage,Multi-vehicle Collision,College,machine-op-inspct,husband,MALE,unknown,250/500,NO,Medium Risk,1,43,0,0,-33600,11491.05,3.499752142,1,0.536806553,17,7060,232,3,4995,1483.91,500,1,14120,1,0,70600,8000000,49420,1
Police,Side Collision,N,Minor Damage,Multi-vehicle Collision,Masters,armed-forces,other-relative,MALE,unknown,500/1000,unknown,Low Risk,0,40,1,0,-45000,6791.05,3.999642250,1,0.174103860,5,5590,244,3,5631,1304.67,2000,0,11180,1,0,61490,7000000,44720,1
Police,Side Collision,N,Minor Damage,Single Vehicle Collision,MD,protective-serv,wife,FEMALE,YES,500/1000,NO,Low Risk,0,30,1,44400,-51500,3991.05,3.999618357,1,0.255794416,9,5240,84,1,4246,1035.79,2000,1,10480,1,0,57640,0,41920,0
Police,unknown,N,Trivial Damage,Vehicle Theft,High School,craft-repair,own-child,FEMALE,NO,250/500,NO,Low Risk,0,57,1,51500,0,-33158.95,4.495758718,1,0.082635854,9,1060,394,1,5780,1401.2,500,0,1060,1,0,6890,0,4770,0
Fire,Side Collision,Y,Major Damage,Multi-vehicle Collision,JD,machine-op-inspct,wife,MALE,unknown,250/500,unknown,High Risk,1,45,2,34400,-33100,-2408.95,5.998986658,1,0.768582833,9,11840,246,3,5839,1665.45,1000,1,5920,1,0,53280,0,35520,2
Fire,Rear Collision,N,Minor Damage,Multi-vehicle Collision,JD,handlers-cleaners,unmarried,FEMALE,unknown,500/1000,NO,Low Risk,0,29,0,52100,-46900,16881.05,6.999106117,1,0.245912061,22,15660,35,3,1279,653.66,2000,1,7830,1,0,78300,0,54810,0
Ambulance,Rear Collision,N,Major Damage,Multi-vehicle Collision,Associate,protective-serv,other-relative,MALE,NO,100/300,YES,Low Risk,0,37,0,0,-61000,-5658.95,6.998481891,1,0.268316349,15,4610,156,3,1651,1080.13,500,1,4610,1,0,41490,0,32270,3
Fire,Front Collision,N,Total Loss,Multi-vehicle Collision,Associate,machine-op-inspct,wife,FEMALE,YES,100/300,YES,Low Risk,0,36,2,57800,-53300,12231.05,7.998724286,1,0.284632912,14,12540,195,3,4859,1346.18,2000,1,6270,1,0,68970,0,50160,3
Police,Rear Collision,N,Minor Damage,Multi-vehicle Collision,College,handlers-cleaners,husband,MALE,YES,250/500,unknown,Low Risk,0,55,2,55400,0,21781.05,6.999179463,1,0.151707997,6,17060,369,3,652,1589.54,2000,0,8530,1,0,85300,0,59710,0
unknown,unknown,N,Minor Damage,Parked Car,Associate,other-service,wife,FEMALE,NO,100/300,NO,Low Risk,0,40,0,71200,0,-35688.95,7.971530249,1,0.099884137,6,560,271,1,7014,1251.65,1000,0,280,1,0,3080,0,2240,0
Police,Front Collision,Y,Major Damage,Multi-vehicle Collision,MD,craft-repair,other-relative,MALE,unknown,100/300,YES,High Risk,1,47,2,91900,0,11751.05,4.499592428,1,0.724129384,22,11040,332,4,8492,1083.01,2000,1,11040,1,0,71760,0,49680,0
Ambulance,Rear Collision,N,Minor Damage,Multi-vehicle Collision,JD,armed-forces,wife,FEMALE,NO,100/300,unknown,Low Risk,0,26,1,62800,0,-2108.95,2.999748765,1,0.149484394,14,11940,107,3,244,974.59,500,0,11940,1,0,59700,0,35820,0
Fire,Front Collision,N,Minor Damage,Multi-vehicle Collision,Masters,other-service,other-relative,FEMALE,unknown,500/1000,NO,Low Risk,0,39,0,49900,-19800,5351.05,3.999630348,1,0.179931292,16,10820,217,3,8336,1399.85,2000,0,10820,1,0,64920,0,43280,2
Ambulance,Front Collision,N,Major Damage,Multi-vehicle Collision,Associate,machine-op-inspct,own-child,FEMALE,NO,500/1000,unknown,Low Risk,0,43,0,0,-75700,-8738.95,6.998321745,1,0.258694715,10,4170,243,3,3281,1307.74,500,1,4170,1,0,37530,0,29190,1
Ambulance,Side Collision,N,Total Loss,Multi-vehicle Collision,Associate,tech-support,husband,MALE,NO,250/500,YES,Low Risk,0,42,1,53100,-63400,11911.05,6.999016992,1,0.261420450,9,7120,296,3,4355,1219.27,2000,1,7120,1,0,64080,0,49840,2
Other,Rear Collision,Y,Minor Damage,Single Vehicle Collision,PhD,prof-specialty,unmarried,MALE,unknown,100/300,NO,Medium Risk,1,41,1,55600,0,5991.05,7.998543070,1,0.534544048,4,10980,264,1,4498,1411.3,500,1,5490,1,0,60390,0,43920,0
Police,Side Collision,Y,Major Damage,Multi-vehicle Collision,JD,armed-forces,not-in-family,FEMALE,YES,100/300,unknown,Medium Risk,1,33,0,0,0,8871.05,3.999658149,1,0.511215775,6,5850,108,3,9124,694.45,2000,1,11700,1,0,64350,0,46800,1
Police,Side Collision,N,Minor Damage,Multi-vehicle Collision,College,other-service,own-child,FEMALE,YES,100/300,YES,Low Risk,0,38,2,0,0,11701.05,6.999012833,1,0.235901330,15,14180,32,3,1793,1006.77,500,1,7090,1,0,70900,6000000,49630,1
Fire,Side Collision,N,Minor Damage,Multi-vehicle Collision,JD,craft-repair,unmarried,FEMALE,unknown,250/500,NO,Low Risk,0,39,1,0,-83900,-6888.95,3.999484602,1,0.215110115,12,7760,259,3,7067,1422.36,1000,1,7760,1,0,46560,0,31040,3
Police,unknown,Y,Trivial Damage,Vehicle Theft,Associate,craft-repair,wife,FEMALE,unknown,100/300,NO,Medium Risk,1,33,2,37600,-37600,-34918.95,3.495934959,1,0.647433433,3,860,186,1,1782,1348.32,1000,1,860,1,0,4730,0,3010,1
Police,unknown,N,Minor Damage,Vehicle Theft,PhD,transport-moving,not-in-family,FEMALE,YES,250/500,YES,Low Risk,0,40,0,0,0,-33588.95,3.497179694,1,0.074185272,14,1240,201,1,8453,1315.56,2000,0,1240,1,0,6820,0,4340,0
Police,Rear Collision,Y,Major Damage,Single Vehicle Collision,PhD,tech-support,other-relative,MALE,unknown,250/500,unknown,Medium Risk,1,58,0,47400,-27600,4001.05,6.998831581,1,0.649591416,10,11980,436,1,4638,1407.01,2000,1,5990,1,0,59900,5000000,41930,2
Police,Side Collision,N,Major Damage,Multi-vehicle Collision,MD,priv-house-serv,own-child,FEMALE,YES,250/500,unknown,Low Risk,0,36,1,0,-49400,15111.05,3.999698364,1,0.336123054,17,13260,189,3,2848,1388.58,2000,1,13260,1,0,79560,0,53040,3
Other,Front Collision,N,Total Loss,Single Vehicle Collision,High School,adm-clerical,not-in-family,FEMALE,unknown,500/1000,YES,Low Risk,0,33,0,0,-40900,13191.05,7.998748240,1,0.347547028,8,12780,105,1,6798,1310.76,500,1,6390,1,0,70290,0,51120,1
Ambulance,Rear Collision,N,Total Loss,Multi-vehicle Collision,JD,priv-house-serv,not-in-family,MALE,NO,100/300,YES,Medium Risk,0,31,2,26900,0,8551.05,3.999655796,1,0.409154736,14,5810,163,3,4664,1004.63,1000,1,11620,1,0,63910,6000000,46480,0
unknown,unknown,N,Trivial Damage,Vehicle Theft,Associate,transport-moving,not-in-family,FEMALE,NO,100/300,unknown,Low Risk,0,40,1,68700,0,-32808.95,7.987519501,1,0.046423367,6,640,219,1,3014,1134.91,500,0,640,1,0,6400,0,5120,0
Ambulance,Rear Collision,Y,Major Damage,Single Vehicle Collision,JD,handlers-cleaners,husband,FEMALE,YES,250/500,YES,Medium Risk,1,25,1,0,0,14011.05,6.999056731,1,0.576677929,6,7420,88,1,2668,1194,1000,1,7420,1,0,66780,0,51940,2
Police,unknown,N,Minor Damage,Parked Car,College,sales,own-child,FEMALE,unknown,500/1000,NO,Low Risk,0,39,0,0,-33300,-32088.95,3.997262149,1,0.035511883,8,1460,40,1,5058,1248.25,1000,0,1460,1,0,8760,4000000,5840,2
Ambulance,Side Collision,N,Major Damage,Single Vehicle Collision,Associate,machine-op-inspct,wife,MALE,unknown,100/300,YES,Medium Risk,0,42,0,0,0,30551.05,3.999766369,1,0.517807268,13,8560,284,1,7210,1338.54,500,1,17120,1,0,94160,-1000000,68480,1
Ambulance,Front Collision,N,Total Loss,Multi-vehicle Collision,College,protective-serv,other-relative,MALE,NO,250/500,unknown,Low Risk,0,40,0,64200,-32300,-3548.95,2.999738243,1,0.110678624,0,5730,59,3,1227,782.23,2000,0,11460,1,0,51570,0,34380,2
Fire,Rear Collision,Y,Major Damage,Multi-vehicle Collision,High School,handlers-cleaners,husband,FEMALE,NO,250/500,unknown,Medium Risk,1,31,1,0,-15700,-6308.95,2.999715397,1,0.667727819,14,10540,39,3,4383,1366.9,2000,1,10540,1,0,52700,0,31620,0
Fire,Side Collision,N,Minor Damage,Single Vehicle Collision,High School,sales,wife,MALE,unknown,500/1000,YES,Low Risk,0,34,2,0,-48300,32001.05,4.499710443,1,0.233928702,13,15540,147,1,1450,1275.81,1000,1,15540,1,0,101010,0,69930,2
Police,Rear Collision,Y,Minor Damage,Multi-vehicle Collision,High School,exec-managerial,unmarried,MALE,YES,250/500,unknown,Low Risk,1,37,1,0,-51800,4791.05,7.998502153,1,0.378514129,16,5340,156,4,8011,1090.65,500,1,5340,1,0,53400,0,42720,2
Fire,Side Collision,N,Total Loss,Single Vehicle Collision,Associate,prof-specialty,wife,FEMALE,NO,250/500,unknown,Low Risk,0,31,1,0,-54600,10151.05,3.999667249,1,0.309764938,13,12020,123,1,3483,1326,500,1,12020,1,0,72120,0,48080,2
Police,Front Collision,N,Minor Damage,Multi-vehicle Collision,College,protective-serv,wife,MALE,YES,250/500,YES,Low Risk,0,43,2,0,-58100,16041.05,3.499773037,1,0.218555026,15,7710,231,3,3151,972.47,2000,1,15420,1,0,77100,0,53970,2
Police,unknown,N,Trivial Damage,Parked Car,College,handlers-cleaners,wife,FEMALE,unknown,100/300,unknown,Low Risk,0,39,2,0,0,-35228.95,2700,1,0.088505866,3,600,247,1,7750,806.31,500,0,0,1,0,3300,0,2700,3
unknown,unknown,N,Minor Damage,Parked Car,MD,adm-clerical,not-in-family,FEMALE,unknown,500/1000,YES,Low Risk,0,35,1,0,0,-33608.95,7.985212569,1,0.191594733,7,1080,194,1,1079,1416.24,500,0,540,1,0,5940,0,4320,0
Other,Rear Collision,N,Major Damage,Multi-vehicle Collision,High School,transport-moving,other-relative,MALE,unknown,250/500,NO,Medium Risk,0,27,1,27100,0,-2528.95,1.666588202,1,0.437211106,16,7080,119,2,6394,1097.64,2000,1,21240,1,0,63720,0,35400,0
Police,unknown,N,Trivial Damage,Vehicle Theft,Masters,farming-fishing,not-in-family,FEMALE,NO,100/300,NO,Low Risk,0,43,1,0,-39300,-32168.95,8.985959438,1,0.106898391,15,1280,259,1,2039,947.75,500,0,640,1,0,7680,0,5760,3
Police,Side Collision,N,Total Loss,Multi-vehicle Collision,Associate,handlers-cleaners,own-child,MALE,unknown,100/300,YES,Low Risk,0,31,1,20000,-82700,19751.05,2.666543387,1,0.397473190,21,14420,107,3,7368,1018.73,2000,1,21630,1,0,93730,5000000,57680,2
Police,Rear Collision,N,Major Damage,Multi-vehicle Collision,College,sales,other-relative,MALE,unknown,100/300,YES,Low Risk,0,44,0,34000,-55600,14451.05,2.999828189,1,0.356306107,23,17460,48,3,6561,1400.74,2000,1,17460,1,0,87300,0,52380,2
Police,unknown,N,Trivial Damage,Parked Car,JD,transport-moving,wife,MALE,NO,250/500,unknown,Low Risk,0,40,0,0,-35200,-34148.95,5.990491284,1,0.051213482,5,1260,267,1,1933,1155.53,500,0,630,1,0,5670,5000000,3780,2
Other,Rear Collision,N,Minor Damage,Multi-vehicle Collision,High School,priv-house-serv,husband,MALE,NO,250/500,YES,Low Risk,0,47,0,54100,-77600,8131.05,6.998936332,1,0.183433351,15,13160,286,3,4441,1386.93,500,0,6580,1,0,65800,0,46060,0
Other,Front Collision,Y,Major Damage,Single Vehicle Collision,JD,handlers-cleaners,wife,FEMALE,YES,100/300,unknown,Low Risk,1,34,2,82400,-57100,-9368.95,6.998284734,1,0.342244526,14,4080,175,1,7210,915.29,500,1,4080,1,0,36720,0,28560,1
Fire,Side Collision,Y,Major Damage,Single Vehicle Collision,PhD,farming-fishing,own-child,FEMALE,YES,250/500,unknown,High Risk,1,29,1,0,0,471.050000000,3.999583377,1,0.782761752,1,4800,111,1,1448,1239.55,500,1,9600,1,0,52800,2000000,38400,1
Fire,Rear Collision,Y,Total Loss,Multi-vehicle Collision,Associate,protective-serv,unmarried,FEMALE,YES,250/500,NO,Medium Risk,1,37,1,44000,0,9351.05,7.998646591,1,0.589170736,14,5910,151,3,850,1366.42,500,1,5910,1,0,59100,0,47280,2
