months_as_customer,age,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,injury_claim,property_claim,vehicle_claim,fraud_reported,policy_age_days,claim_ratio,Fraud_Probability,Predicted,Actual,Risk_Level
147,31,250/500,500,1054.92,6000000,FEMALE,PhD,prof-specialty,own-child,51900,0,Single Vehicle Collision,Front Collision,Major Damage,Other,4,1,unknown,0,0,unknown,8530,0,59710,Y,6549,59710.0,0.4388777795811369,1,1,Medium Risk
148,30,100/300,500,1471.24,0,FEMALE,Masters,farming-fishing,own-child,57500,-93600,Multi-vehicle Collision,Side Collision,Minor Damage,Police,4,3,NO,2,2,NO,4060,4060,24360,N,4660,5.998522531396207,0.17544688360963084,0,0,Low Risk
377,53,100/300,500,1693.63,0,FEMALE,MD,craft-repair,unmarried,0,-64000,Multi-vehicle Collision,Front Collision,Total Loss,Fire,10,3,YES,1,3,NO,6560,6560,45920,N,6742,6.998933089468069,0.4350619512779567,1,0,Medium Risk
250,43,500/1000,1000,1243.84,0,FEMALE,JD,tech-support,own-child,47900,-73400,Single Vehicle Collision,Side Collision,Minor Damage,Other,22,1,YES,1,3,NO,12980,12980,38940,N,572,2.9997688929974577,0.25849295495415137,1,0,Low Risk
173,36,250/500,1000,1274.63,0,MALE,College,machine-op-inspct,unmarried,51000,0,Single Vehicle Collision,Rear Collision,Total Loss,Fire,22,1,YES,2,3,NO,9460,9460,33110,N,2731,3.4996300602473314,0.2871088261926552,1,0,Low Risk
460,62,250/500,1000,1187.96,4000000,MALE,JD,other-service,own-child,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,20,3,NO,1,0,unknown,0,5240,41920,N,4573,7.998473573745469,0.2519601760559452,1,0,Low Risk
439,56,250/500,500,1082.49,0,FEMALE,PhD,prof-specialty,unmarried,36100,-55000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,12,3,unknown,2,3,unknown,0,6270,50160,N,2291,7.998724286397704,0.5964736896853722,1,0,Medium Risk
250,42,100/300,500,1055.6,0,MALE,High School,exec-managerial,husband,69500,-40700,Single Vehicle Collision,Rear Collision,Major Damage,Other,16,1,unknown,1,1,unknown,13600,6800,54400,Y,3691,7.998823702396706,0.516912527996534,1,1,Medium Risk
159,37,500/1000,1000,894.4,0,MALE,Associate,tech-support,wife,0,-53700,Single Vehicle Collision,Rear Collision,Total Loss,Police,13,1,YES,2,0,NO,7810,7810,54670,N,5976,6.999103827934963,0.2832703263559736,1,0,Low Risk
128,30,100/300,1000,1061.33,0,MALE,MD,machine-op-inspct,own-child,43300,-66200,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,8,1,NO,0,3,NO,12460,6230,49840,N,7638,7.9987160969346816,0.5716293175821175,1,0,Medium Risk
275,40,250/500,2000,1190.6,0,MALE,Masters,exec-managerial,unmarried,0,-45300,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,17,1,unknown,1,3,YES,7860,7860,27510,N,8448,3.4995547640249334,0.21313193579680445,1,0,Low Risk
122,34,250/500,1000,1220.71,0,MALE,PhD,machine-op-inspct,own-child,58600,-28700,Parked Car,unknown,Minor Damage,unknown,5,1,unknown,2,1,YES,1890,1260,5040,N,3193,3.9968279143536876,0.10073004742823408,0,0,Low Risk
277,46,250/500,2000,1177.57,0,FEMALE,Associate,adm-clerical,husband,0,-65500,Vehicle Theft,unknown,Minor Damage,Police,4,1,unknown,2,3,NO,430,860,2580,N,8113,2.9965156794425085,0.12378483178691513,0,0,Low Risk
138,30,500/1000,500,1093.07,4000000,FEMALE,PhD,other-service,wife,27700,-72400,Single Vehicle Collision,Front Collision,Major Damage,Other,0,1,unknown,2,2,NO,6930,13860,62370,N,4745,4.499675348098982,0.6240233412098039,1,0,Medium Risk
231,37,250/500,500,920.81,0,FEMALE,High School,sales,wife,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,14,1,YES,2,0,unknown,0,7910,63280,Y,8464,7.998988749841992,0.513370306042239,1,1,Medium Risk
86,26,100/300,500,1382.88,7000000,MALE,JD,tech-support,other-relative,0,-30300,Single Vehicle Collision,Rear Collision,Minor Damage,Police,11,1,unknown,1,1,YES,14880,7440,59520,Y,5936,7.998924875688751,0.3448230580573674,1,1,Low Risk
37,23,500/1000,500,1475.93,0,FEMALE,College,prof-specialty,husband,0,-67400,Multi-vehicle Collision,Side Collision,Minor Damage,Other,17,3,YES,1,0,NO,5740,5740,40180,N,3183,6.998780700226441,0.2991646298438497,1,0,Low Risk
232,43,250/500,500,1483.91,8000000,MALE,College,machine-op-inspct,husband,0,-33600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,17,3,NO,0,1,unknown,7060,14120,49420,Y,4995,3.499752142199561,0.5365118957885201,1,1,Medium Risk
272,41,250/500,2000,945.73,5000000,MALE,MD,protective-serv,wife,38600,-42800,Single Vehicle Collision,Front Collision,Minor Damage,Fire,23,1,NO,0,0,NO,16820,8410,58870,Y,8703,6.999167756509333,0.23592742208117867,1,1,Low Risk
140,36,500/1000,2000,979.26,0,FEMALE,JD,transport-moving,own-child,0,-67000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2,4,YES,0,2,YES,14560,14560,43680,N,5343,2.9997939701943546,0.5600015030131305,1,0,Medium Risk
230,39,100/300,1000,904.7,7000000,FEMALE,MD,craft-repair,unmarried,68600,-22300,Single Vehicle Collision,Front Collision,Major Damage,Fire,0,1,unknown,1,3,NO,14840,14840,44520,Y,5559,2.999797857287245,0.6185849466144256,1,1,Medium Risk
255,41,500/1000,2000,1167.3,4000000,MALE,High School,priv-house-serv,other-relative,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,22,1,NO,2,0,unknown,13860,13860,41580,N,775,2.999783565399322,0.2595731931964212,1,0,Low Risk
379,54,100/300,500,1251.16,0,FEMALE,Associate,machine-op-inspct,not-in-family,41400,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,14,1,unknown,0,1,NO,6330,6330,63300,N,4798,9.998420470699731,0.3871837836039509,1,0,Low Risk
270,45,500/1000,500,1187.53,0,FEMALE,PhD,priv-house-serv,not-in-family,83200,-53300,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,3,unknown,0,0,YES,9880,0,44460,N,4203,44460.0,0.29502158456613764,1,0,Low Risk
210,37,500/1000,500,1467.76,0,FEMALE,MD,tech-support,own-child,38700,-33100,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,8,1,unknown,1,3,YES,6330,6330,50640,N,957,7.998736376559785,0.36962273495927256,1,0,Low Risk
32,38,100/300,500,1006.77,6000000,FEMALE,College,other-service,own-child,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,15,3,YES,2,1,YES,14180,7090,49630,N,1793,6.9990128331688055,0.19332301252669132,0,0,Low Risk
93,32,250/500,2000,1624.82,0,MALE,PhD,exec-managerial,unmarried,65300,-65600,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,16,1,unknown,1,1,unknown,17360,8680,52080,N,3420,5.9993088353876285,0.2808915963818574,1,0,Low Risk
29,25,250/500,2000,1352.83,0,MALE,Masters,farming-fishing,own-child,0,-71700,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,4,4,YES,1,2,YES,7210,7210,50470,Y,82,6.999029260851477,0.3128867854043157,1,1,Low Risk
168,39,500/1000,1000,1389.59,0,FEMALE,Masters,machine-op-inspct,own-child,0,-42600,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,23,3,YES,1,3,NO,3780,7560,30240,Y,7561,3.9994709694484856,0.41571592555701703,1,1,Medium Risk
298,49,250/500,500,1451.01,0,FEMALE,College,other-service,own-child,47800,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,17,1,NO,2,2,NO,2810,5620,19670,N,2282,3.4993773349937736,0.16780524391950982,0,0,Low Risk
290,48,250/500,500,1161.03,5000000,MALE,Associate,adm-clerical,not-in-family,45300,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,20,2,unknown,1,1,unknown,5190,5190,31140,N,660,5.998844153342323,0.20587737764510555,1,0,Low Risk
175,34,500/1000,1000,1123.87,8000000,FEMALE,PhD,protective-serv,other-relative,0,0,Vehicle Theft,unknown,Trivial Damage,Police,5,1,unknown,2,0,YES,810,810,5670,N,2607,6.991368680641184,0.19891837691341493,0,0,Low Risk
193,40,100/300,500,1155.38,0,FEMALE,PhD,handlers-cleaners,not-in-family,34200,-32300,Single Vehicle Collision,Side Collision,Minor Damage,Fire,6,1,NO,0,0,YES,6390,6390,51120,N,3683,7.9987482397120955,0.29809584096491637,1,0,Low Risk
182,38,500/1000,2000,1441.06,0,FEMALE,Masters,armed-forces,husband,53800,-78300,Single Vehicle Collision,Side Collision,Total Loss,Police,18,1,unknown,2,3,YES,8150,16300,65200,N,2099,3.99975461628121,0.36095333482030667,1,0,Low Risk
259,43,100/300,500,947.75,0,FEMALE,Masters,farming-fishing,not-in-family,0,-39300,Vehicle Theft,unknown,Trivial Damage,Police,15,1,NO,1,3,NO,1280,640,5760,N,2039,8.985959438377535,0.08166518563227061,0,0,Low Risk
196,39,500/1000,2000,1475.73,0,FEMALE,High School,handlers-cleaners,own-child,57000,-27300,Multi-vehicle Collision,Side Collision,Major Damage,Police,8,3,unknown,2,0,NO,6040,6040,48320,N,8239,7.9986757159410695,0.38612034764677783,1,0,Low Risk
32,38,250/500,2000,566.11,5000000,MALE,Associate,armed-forces,unmarried,0,0,Parked Car,unknown,Trivial Damage,Police,22,1,YES,0,0,NO,440,440,1760,N,7594,3.9909297052154193,0.18322212957373504,0,0,Low Risk
436,58,250/500,2000,1407.01,5000000,MALE,PhD,tech-support,other-relative,47400,-27600,Single Vehicle Collision,Rear Collision,Major Damage,Police,10,1,unknown,0,2,unknown,11980,5990,41930,Y,4638,6.9988315807043895,0.6159078693057081,1,1,Medium Risk
10,19,250/500,1000,1185.78,0,FEMALE,JD,craft-repair,wife,0,-60700,Single Vehicle Collision,Side Collision,Minor Damage,Police,5,1,unknown,0,2,unknown,4450,8900,35600,Y,180,3.999550612290754,0.24095989495623482,1,1,Low Risk
320,48,250/500,2000,1730.49,7000000,MALE,College,transport-moving,not-in-family,46300,-41700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,13,3,NO,2,0,NO,4680,9360,42120,N,636,4.499519282127978,0.2590127836533187,1,0,Low Risk
96,30,100/300,500,1399.27,6000000,MALE,College,prof-specialty,wife,38900,-48700,Single Vehicle Collision,Side Collision,Total Loss,Fire,22,1,unknown,0,0,YES,0,6680,46760,N,4900,6.998952252656788,0.37746031512917266,1,0,Low Risk
236,38,250/500,1000,802.24,0,FEMALE,College,other-service,not-in-family,0,-62500,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,16,1,NO,0,1,unknown,16710,5570,44560,N,8167,7.998563992101957,0.5708937743677804,1,0,Medium Risk
4,29,250/500,500,1381.88,5000000,MALE,High School,tech-support,other-relative,0,-77800,Vehicle Theft,unknown,Trivial Damage,Police,4,1,NO,0,2,unknown,840,420,2940,N,4653,6.983372921615202,0.1381927811246643,0,0,Low Risk
130,30,500/1000,2000,1193.4,0,MALE,PhD,exec-managerial,own-child,0,-40800,Multi-vehicle Collision,Side Collision,Total Loss,Other,16,3,NO,2,3,unknown,8900,4450,35600,N,890,7.998202651089643,0.288855803829827,1,0,Low Risk
121,34,500/1000,500,1285.42,0,MALE,MD,priv-house-serv,wife,0,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,11,1,NO,1,1,NO,6730,6730,53840,Y,8745,7.998811469321052,0.5417516498786197,1,1,Medium Risk
288,45,100/300,1000,1046.71,0,MALE,Masters,priv-house-serv,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,4,3,unknown,2,1,unknown,10680,5340,32040,N,4527,5.99887661486613,0.41564854293995807,1,0,Medium Risk
89,32,250/500,1000,988.93,0,FEMALE,High School,craft-repair,unmarried,27600,0,Single Vehicle Collision,Front Collision,Total Loss,Other,11,1,unknown,2,3,YES,15380,15380,53830,N,6610,3.4997724465249336,0.43747603901010795,1,0,Medium Risk
410,54,100/300,2000,714.03,0,MALE,MD,protective-serv,own-child,0,-17000,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,0,1,YES,0,2,NO,9920,9920,39680,N,1632,3.999596814837214,0.2543395386395734,1,0,Low Risk
285,47,100/300,1000,1216.68,0,FEMALE,Masters,sales,other-relative,55100,0,Vehicle Theft,unknown,Trivial Damage,Police,8,1,NO,1,1,NO,300,300,2100,N,8499,6.976744186046512,0.04938039682231821,0,0,Low Risk
330,50,500/1000,1000,978.46,0,FEMALE,High School,sales,husband,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,19,1,YES,0,0,NO,8920,8920,31220,N,4421,3.499607667301872,0.2653059684759439,1,0,Low Risk
381,55,500/1000,500,1459.99,0,FEMALE,MD,other-service,wife,35900,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,8,1,YES,1,2,YES,12120,6060,42420,N,8675,6.99884507507012,0.5792153856243893,1,0,Medium Risk
121,31,500/1000,1000,1061.98,6000000,FEMALE,JD,armed-forces,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,1,NO,0,1,YES,7250,7250,50750,N,2884,6.999034615915046,0.3121911631165996,1,0,Low Risk
280,45,250/500,1000,1397.67,0,MALE,JD,machine-op-inspct,wife,57900,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,0,3,YES,1,2,NO,14120,14120,56480,N,1287,3.999716733942355,0.23266261195864937,1,0,Low Risk
209,39,100/300,500,1264.99,0,MALE,PhD,transport-moving,husband,67800,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,22,1,unknown,1,1,NO,8400,4200,25200,N,6600,5.998571768626517,0.1411868174211979,0,0,Low Risk
154,34,100/300,500,795.23,0,MALE,PhD,machine-op-inspct,other-relative,36900,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,15,3,YES,2,1,unknown,15440,0,54040,Y,9096,54040.0,0.4917212087594845,1,1,Medium Risk
126,34,100/300,2000,1078.22,0,FEMALE,Masters,transport-moving,wife,54500,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,2,3,NO,0,1,YES,10620,5310,42480,N,2658,7.99849369233666,0.47797210713441324,1,0,Medium Risk
127,29,250/500,2000,1326.44,5000000,FEMALE,High School,sales,own-child,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,12,2,YES,1,1,unknown,10300,10300,46350,N,5558,4.499563149208814,0.4778614088769146,1,0,Medium Risk
299,44,500/1000,1000,1653.32,0,FEMALE,College,other-service,other-relative,0,-48800,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,3,1,YES,2,0,unknown,6780,6780,40680,N,2270,5.999115174752986,0.2987280783764198,1,0,Low Risk
235,39,100/300,500,1046.58,4000000,MALE,MD,tech-support,wife,0,-31700,Vehicle Theft,unknown,Trivial Damage,unknown,1,1,unknown,2,1,NO,450,900,3600,N,1478,3.995560488346282,0.22902896835953115,1,0,Low Risk
225,37,100/300,1000,1217.84,5000000,FEMALE,High School,farming-fishing,not-in-family,49600,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,unknown,2,2,NO,9600,9600,38400,N,5181,3.9995833767315903,0.23456226588398446,1,0,Low Risk
80,28,500/1000,1000,1740.57,0,FEMALE,College,farming-fishing,wife,0,-18600,Single Vehicle Collision,Rear Collision,Major Damage,Police,3,1,unknown,0,1,unknown,3720,3720,26040,N,46,6.998118785272776,0.3112199499771092,1,0,Low Risk
180,35,500/1000,1000,1252.48,0,MALE,MD,machine-op-inspct,wife,0,-55800,Vehicle Theft,unknown,Minor Damage,unknown,17,1,unknown,1,3,NO,1020,510,3570,N,3495,6.986301369863014,0.1648651115594587,0,0,Low Risk
146,31,100/300,1000,1457.65,5000000,FEMALE,College,armed-forces,own-child,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,0,3,NO,1,3,unknown,5820,5820,40740,N,8901,6.998797457481532,0.4784628288958794,1,0,Medium Risk
41,26,100/300,1000,1383.13,0,FEMALE,JD,prof-specialty,own-child,46700,0,Vehicle Theft,unknown,Trivial Damage,Police,12,1,YES,1,1,unknown,530,1060,5300,N,3259,4.995287464655985,0.11284843761765681,0,0,Low Risk
233,37,100/300,2000,1603.42,0,FEMALE,High School,sales,wife,61600,-30200,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,0,2,YES,13420,6710,60390,N,8496,8.99865891819401,0.3182365868496288,1,0,Low Risk
434,57,500/1000,2000,1422.95,0,MALE,JD,transport-moving,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,15,3,NO,1,3,NO,11040,11040,44160,N,5321,3.9996377139751833,0.6570460674930139,1,0,Medium Risk
356,47,250/500,2000,1155.97,0,MALE,High School,prof-specialty,husband,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Other,5,1,YES,0,3,unknown,5590,11180,44720,N,3471,3.999642250245953,0.2655313838395659,1,0,Low Risk
134,32,500/1000,500,1612.43,0,FEMALE,MD,other-service,own-child,36400,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,2,1,unknown,2,1,YES,11680,11680,40880,N,8772,3.499700368119168,0.26526019768349957,1,0,Low Risk
292,45,500/1000,1000,1358.91,0,MALE,Masters,craft-repair,unmarried,0,0,Vehicle Theft,unknown,Trivial Damage,Police,4,1,NO,0,2,unknown,670,1340,5360,N,8739,3.9970171513795676,0.13615534477311095,0,0,Low Risk
124,32,250/500,1000,1198.15,0,FEMALE,MD,other-service,not-in-family,0,-43200,Multi-vehicle Collision,Front Collision,Total Loss,Other,19,3,NO,0,2,YES,12260,12260,49040,N,8295,3.9996737623358616,0.36933909184267893,1,0,Low Risk
156,32,250/500,500,1479.48,0,MALE,Masters,prof-specialty,unmarried,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,15,1,YES,1,3,YES,6790,13580,54320,Y,8334,3.999705470878433,0.574174869805052,1,1,Medium Risk
267,46,250/500,2000,1111.17,0,MALE,MD,craft-repair,unmarried,35000,0,Parked Car,unknown,Trivial Damage,unknown,3,1,YES,2,3,YES,900,450,3600,N,3830,7.982261640798226,0.19768996846909395,0,0,Low Risk
91,26,250/500,1000,1022.46,0,FEMALE,Associate,armed-forces,other-relative,52700,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,15,3,unknown,0,2,unknown,7420,7420,59360,N,5606,7.998921978170058,0.2638701527728249,1,0,Low Risk
269,41,100/300,500,1463.82,0,FEMALE,College,protective-serv,not-in-family,0,-72300,Single Vehicle Collision,Rear Collision,Minor Damage,Police,23,1,YES,0,0,unknown,15860,15860,47580,N,8863,2.9998108568186117,0.19429471717819619,0,0,Low Risk
155,35,500/1000,1000,1088.34,0,FEMALE,Associate,adm-clerical,other-relative,81100,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,16,3,YES,2,3,NO,3310,3310,23170,N,4225,6.997885835095137,0.23113817845100643,1,0,Low Risk
303,43,500/1000,1000,671.01,7000000,FEMALE,Associate,machine-op-inspct,other-relative,42900,-61500,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,20,1,unknown,2,0,unknown,6690,6690,46830,N,5838,6.9989538185622475,0.3208709448034846,1,0,Low Risk
219,40,100/300,500,1134.91,0,FEMALE,Associate,transport-moving,not-in-family,68700,0,Vehicle Theft,unknown,Trivial Damage,unknown,6,1,unknown,1,0,NO,640,640,5120,N,3014,7.9875195007800315,0.03944187881489487,0,0,Low Risk
194,35,500/1000,500,1416.24,0,FEMALE,MD,adm-clerical,not-in-family,0,0,Parked Car,unknown,Minor Damage,unknown,7,1,YES,1,0,unknown,1080,540,4320,N,1079,7.985212569316081,0.17152275990362176,0,0,Low Risk
371,51,500/1000,1000,1532.47,0,FEMALE,Associate,tech-support,other-relative,60300,-24700,Single Vehicle Collision,Rear Collision,Major Damage,Fire,7,1,YES,0,3,YES,7540,15080,52780,Y,3383,3.499767919899211,0.6019639349528867,1,1,Medium Risk
163,31,100/300,1000,1004.63,6000000,MALE,JD,priv-house-serv,not-in-family,26900,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,14,3,YES,2,0,NO,5810,11620,46480,N,4664,3.9996557955425525,0.48248382012697105,1,0,Medium Risk
91,27,100/300,2000,1073.83,0,FEMALE,JD,farming-fishing,husband,0,0,Vehicle Theft,unknown,Trivial Damage,unknown,4,1,unknown,1,2,unknown,1320,660,5280,N,7455,7.987897125567322,0.07975145043794189,0,0,Low Risk
235,42,250/500,500,1072.62,0,FEMALE,Masters,machine-op-inspct,husband,39900,-60200,Multi-vehicle Collision,Side Collision,Total Loss,Other,7,4,unknown,2,1,YES,6910,6910,55280,N,8915,7.998842425119375,0.31872710979600943,1,0,Low Risk
103,27,100/300,1000,1537.33,0,FEMALE,College,handlers-cleaners,husband,0,-74800,Multi-vehicle Collision,Front Collision,Minor Damage,Police,11,3,YES,1,1,NO,7770,15540,54390,N,2623,3.4997747892671,0.2271695903689808,1,0,Low Risk
360,51,500/1000,1000,1526.61,0,MALE,Masters,handlers-cleaners,not-in-family,0,-32900,Vehicle Theft,unknown,Minor Damage,Police,5,1,YES,2,2,unknown,840,840,2940,Y,4813,3.4958382877526755,0.19698125125669128,0,1,Low Risk
238,39,250/500,2000,1488.02,0,FEMALE,JD,protective-serv,other-relative,0,-39200,Vehicle Theft,unknown,Minor Damage,Police,9,1,YES,1,3,YES,1100,550,3850,N,3003,6.987295825771325,0.07781983458890385,0,0,Low Risk
159,33,100/300,2000,1462.76,0,FEMALE,College,craft-repair,husband,69200,-36900,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,23,3,YES,2,0,NO,8160,4080,32640,Y,2776,7.998039696152904,0.38856390490148857,1,1,Low Risk
97,27,500/1000,500,1588.26,0,FEMALE,High School,tech-support,husband,56700,-49300,Multi-vehicle Collision,Side Collision,Total Loss,Other,22,3,YES,2,1,YES,8410,8410,58870,N,4657,6.999167756509333,0.3726065001424935,1,0,Low Risk
35,29,500/1000,2000,653.66,0,FEMALE,JD,handlers-cleaners,unmarried,52100,-46900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,22,3,NO,0,0,unknown,15660,7830,54810,N,1279,6.999106116715617,0.2768790624953836,1,0,Low Risk
111,27,250/500,500,1459.97,5000000,MALE,MD,sales,other-relative,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,2,3,NO,1,2,NO,7350,14700,58800,Y,4541,3.999727909666009,0.5774093870028016,1,1,Medium Risk
103,26,100/300,500,1354.83,0,MALE,MD,tech-support,husband,66300,0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,14,2,NO,2,2,unknown,4060,4060,32480,N,272,7.99803004186161,0.28185266677002313,1,0,Low Risk
73,30,100/300,500,803.36,0,FEMALE,High School,protective-serv,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,3,unknown,0,0,YES,0,11400,45600,N,2117,3.999649153583019,0.44484531922334103,1,0,Medium Risk
426,54,500/1000,2000,1097.71,0,FEMALE,Masters,adm-clerical,not-in-family,29600,-22300,Single Vehicle Collision,Side Collision,Minor Damage,Police,13,1,YES,2,3,unknown,16800,16800,67200,N,6289,3.999761918933397,0.23826274890246998,1,0,Low Risk
147,37,250/500,1000,1306.78,0,MALE,MD,prof-specialty,other-relative,0,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,22,1,unknown,1,0,NO,13520,20280,47320,N,8139,2.333218283122134,0.39740784383241295,1,0,Low Risk
458,59,100/300,1000,1685.69,0,FEMALE,High School,protective-serv,wife,31400,0,Single Vehicle Collision,Front Collision,Total Loss,Police,23,1,unknown,2,2,YES,14360,14360,43080,N,2175,2.9997911008982663,0.3259879755429649,1,0,Low Risk
